data_year,victim_id,offense_id
2023,183397379,197756129
2023,187143914,201511592
2023,187143914,201511593
2023,184148726,198507154
2023,184148727,198507155
2023,184148728,198507156
2023,184148728,198507157
2023,186412286,200775942
2023,183397444,197756189
2023,183397444,197756190
2023,183397452,197756198
2023,183397460,197756206
2023,183397480,197756225
2023,183397481,197756225
2023,183397509,197756253
2023,194091322,208477160
2023,194091323,208477160
2023,184148729,198507158
2023,185394668,199753811
2023,190713778,205087863
2023,190713778,205087864
2023,183397597,197756337
2023,185829569,200194292
2023,185829569,200194294
2023,185829570,200194293
2023,185829571,200194295
2023,194091325,208477163
2023,194091326,208477164
2023,183397631,197756372
2023,183397640,197756382
2023,183397640,197756383
2023,183397646,197756389
2023,183397657,197756400
2023,183397671,197756413
2023,183397681,197756422
2023,183397695,197756437
2023,183397707,197756448
2023,183397714,197756455
2023,206616199,221057248
2023,183397726,197756468
2023,183397735,197756476
2023,183397745,197756487
2023,183397757,197756498
2023,183397766,197756508
2023,188988573,203363923
2023,183397797,197756539
2023,183397797,197756540
2023,185394673,199753817
2023,183397815,197756558
2023,183397827,197756571
2023,183397839,197756583
2023,183397840,197756583
2023,183397851,197756594
2023,183397874,197756616
2023,183397887,197756629
2023,183397887,197756631
2023,183397897,197756639
2023,185394674,199753818
2023,192153841,206534914
2023,183397905,197756647
2023,183397916,197756657
2023,184148735,198507165
2023,183397938,197756678
2023,183397943,197756683
2023,183397960,197756700
2023,183397969,197756709
2023,183397979,197756720
2023,183397980,197756720
2023,183397985,197756724
2023,183397994,197756733
2023,184148736,198507168
2023,184148737,198507166
2023,184148737,198507167
2023,183398002,197756742
2023,184148738,198507169
2023,183398021,197756760
2023,184148739,198507170
2023,183398040,197756777
2023,183398045,197756784
2023,183398051,197756790
2023,185394675,199753819
2023,188988574,203363924
2023,183398073,197756811
2023,183398080,197756818
2023,183398093,197756832
2023,185394676,199753820
2023,183398099,197756839
2023,183398110,197756851
2023,187460268,201835966
2023,187460269,201835966
2023,183398126,197756869
2023,183398166,197756908
2023,183398188,197756931
2023,183398209,197756954
2023,183398219,197756963
2023,183398220,197756964
2023,183398241,197756981
2023,183398257,197756995
2023,183398281,197757019
